id,type,title,relevance,image,location_type,coordinates,price,occupancy,description,
urn:ngsi-ld:PoI:010,PoI,Puerta del Sol,1,sol.jpg,Point,"-3.703834,40.416947",0€,1000,"La Puerta del Sol es una de las plazas más famosas de Madrid. Es el kilómetro cero de las carreteras radiales de España y un lugar lleno de vida y actividad. Aquí se encuentra la famosa estatua del Oso y el Madroño, símbolo de la ciudad.",
urn:ngsi-ld:PoI:011,PoI,Catedral de la Almudena,2,catedral_almudena.jpeg,Point,"-3.714915,40.415947",0€,200,"La Catedral de la Almudena es la iglesia principal de Madrid y una de las más impresionantes arquitectónicamente. Con su combinación de estilos neogótico y neoclásico, es un lugar de culto y un punto de referencia importante en la ciudad.",
urn:ngsi-ld:PoI:012,PoI,Santiago Bernabéu,2,bernabeu.webp,Point,"-3.688344,40.453054",25€,81000,"El estadio Santiago Bernabéu es el hogar del Real Madrid, uno de los clubes de fútbol más exitosos del mundo. Con una capacidad de más de 80,000 espectadores, es un lugar imprescindible para los amantes del fútbol.",
urn:ngsi-ld:PoI:013,PoI,Plaza de Cibeles,2,cibeles.jpeg,Point,"-3.693461,40.419561",0€,200,"La Plaza de Cibeles es una de las plazas más emblemáticas de Madrid, conocida por la impresionante Fuente de Cibeles en su centro y por ser el punto de celebración de los aficionados del Real Madrid.",
urn:ngsi-ld:PoI:014,PoI,Mercado de San Miguel,2,mercado_san_miguel.jpeg,Point,"-3.708662,40.415363",Variable,300,El Mercado de San Miguel es un mercado gastronómico situado en el corazón de Madrid. Es el lugar perfecto para degustar una variedad de tapas y platos españoles.,
urn:ngsi-ld:PoI:015,PoI,Museo Thyssen-Bornemisza,1,Museo_Thyssen-Bornemisza.jpeg,Point,"-3.69425,40.416873",13€,100,"El Museo Thyssen-Bornemisza alberga una de las colecciones privadas de arte más importantes del mundo, con obras que van desde el Renacimiento hasta el arte moderno.",
urn:ngsi-ld:PoI:016,PoI,Palacio de Cibeles,2,Museo_Thyssen-Bornemisza.jpeg,Point,"-3.693908,40.419553",2€,100,"El Palacio de Cibeles, antiguamente conocido como Palacio de Comunicaciones, es la actual sede del Ayuntamiento de Madrid y cuenta con un mirador que ofrece vistas panorámicas de la ciudad.",
urn:ngsi-ld:PoI:017,PoI,Estadio Wanda Metropolitano,3,,Point,"-3.599305,40.436193",Variable,68000,El Estadio Wanda Metropolitano es el estadio del Atlético de Madrid y uno de los estadios más modernos de Europa.,
urn:ngsi-ld:PoI:018,PoI,Museo Arqueológico Nacional,3,,Point,"-3.690198,40.423801",3€,150,El Museo Arqueológico Nacional ofrece una fascinante colección de objetos que abarcan la historia de España desde la Prehistoria hasta la Edad Moderna.,
urn:ngsi-ld:PoI:019,PoI,Teatro Real,2,Teatro_Real_08.jpg,Point,"-3.710411,40.418429",Variable,1800,"El Teatro Real es la ópera de Madrid y uno de los teatros más importantes de España, ofreciendo una programación de ópera, ballet y conciertos de gran calidad.",
urn:ngsi-ld:PoI:020,PoI,Museo Sorolla,3,,Point,"-3.693791,40.434121",3€,50,El Museo Sorolla está dedicado a la obra del pintor impresionista Joaquín Sorolla y se encuentra en la que fuera su casa y estudio en Madrid.,
urn:ngsi-ld:PoI:021,PoI,Real Jardín Botánico,2,Real_Jardin_Botanico_07.jpg,Point,"-3.690597,40.412631",4€,300,"El Real Jardín Botánico de Madrid, fundado en el siglo XVIII, alberga una gran variedad de plantas de todo el mundo y es un lugar ideal para disfrutar de la naturaleza en el centro de la ciudad.",
urn:ngsi-ld:PoI:022,PoI,Círculo de Bellas Artes,3,,Point,"-3.697171,40.418935",4€,200,"El Círculo de Bellas Artes es una institución cultural que organiza exposiciones, talleres y eventos culturales. Su azotea ofrece una de las mejores vistas panorámicas de Madrid.",
urn:ngsi-ld:PoI:023,PoI,Puerta de Alcalá,2,Puerta_de_Alcala_05.jpg,Point,"-3.688917,40.419561",0€,500,"La Puerta de Alcalá es uno de los monumentos más icónicos de Madrid. Situada en la Plaza de la Independencia, es un punto de referencia histórico y turístico.",
urn:ngsi-ld:PoI:024,PoI,El Rastro,3,,Point,"-3.707285,40.408612",0€,1000,"El Rastro es un famoso mercado al aire libre que se celebra todos los domingos y festivos en el barrio de La Latina. Es un lugar ideal para encontrar antigüedades, ropa de segunda mano y curiosidades.",
urn:ngsi-ld:PoI:025,PoI,Casa de Campo,3,,Point,"-3.745192,40.408734",0€,2000,"La Casa de Campo es el mayor parque público de Madrid. Con una amplia variedad de actividades al aire libre, como senderismo, ciclismo y paseos en bote, es un lugar perfecto para disfrutar de la naturaleza.",
urn:ngsi-ld:PoI:026,PoI,Jardines de Sabatini,3,,Point,"-3.715262,40.421064",0€,300,"Los Jardines de Sabatini, situados junto al Palacio Real, son un lugar encantador para pasear y disfrutar de las vistas del palacio y la ciudad.",
urn:ngsi-ld:PoI:027,PoI,Monasterio de las Descalzas Reales,3,,Point,"-3.707041,40.418896",6€,50,El Monasterio de las Descalzas Reales es un convento de clausura fundado en el siglo XVI. Alberga una impresionante colección de arte religioso y es un lugar de gran interés histórico.,
urn:ngsi-ld:PoI:028,PoI,Museo Nacional de Ciencias Naturales,3,,Point,"-3.690205,40.44119",7€,150,"El Museo Nacional de Ciencias Naturales es un lugar fascinante para aprender sobre la historia natural, con exposiciones que incluyen dinosaurios, minerales y animales de todo el mundo.",
urn:ngsi-ld:PoI:029,PoI,Museo del Romanticismo,3,,Point,"-3.698511,40.424054",3€,100,"El Museo del Romanticismo ofrece una mirada al siglo XIX en España, con una colección de objetos que ilustran la vida y el arte de la época romántica.",
urn:ngsi-ld:PoI:030,PoI,Museo de Historia de Madrid,3,,Point,"-3.701633,40.427045",0€,200,"El Museo de Historia de Madrid, ubicado en el antiguo Hospicio de San Fernando, ofrece una amplia colección que narra la historia de la ciudad desde su fundación hasta la actualidad.",
urn:ngsi-ld:PoI:031,PoI,CaixaForum Madrid,3,,Point,"-3.692167,40.410504",6€,300,"El CaixaForum Madrid es un centro cultural y de exposiciones que ofrece una variada programación de arte, música, conferencias y talleres. Su arquitectura moderna, con un jardín vertical en su fachada, es una atracción en sí misma.",
urn:ngsi-ld:PoI:032,PoI,Museo de América,3,,Point,"-3.721303,40.432241",3€,100,El Museo de América alberga una impresionante colección de arte y objetos de las culturas precolombinas de América. Es un lugar fascinante para aprender sobre la historia y las tradiciones del continente americano.,
urn:ngsi-ld:PoI:033,PoI,Museo Nacional de Artes Decorativas,3,,Point,"-3.691838,40.414375",3€,80,"El Museo Nacional de Artes Decorativas ofrece una rica colección de objetos decorativos, incluyendo muebles, cerámicas, textiles y más, que ilustran la evolución del diseño y la artesanía desde la Edad Media hasta la actualidad.",
urn:ngsi-ld:PoI:034,PoI,Museo del Ferrocarril,4,,Point,"-3.69177,40.39134",6€,150,"El Museo del Ferrocarril, ubicado en la antigua estación de Delicias, muestra la historia del ferrocarril en España con una colección de locomotoras, vagones y objetos relacionados con el mundo del tren.",
urn:ngsi-ld:PoI:035,PoI,Museo Lázaro Galdiano,4,,Point,"-3.682977,40.433877",7€,100,"El Museo Lázaro Galdiano alberga una extensa colección de arte y objetos antiguos recopilados por el coleccionista José Lázaro Galdiano. Incluye pinturas, esculturas, joyas y más.",
urn:ngsi-ld:PoI:036,PoI,Museo de Cera de Madrid,4,,Point,"-3.689311,40.423706",18€,200,"El Museo de Cera de Madrid presenta figuras de cera de personajes históricos, culturales y del espectáculo, ofreciendo una experiencia divertida y educativa para visitantes de todas las edades.",
urn:ngsi-ld:PoI:037,PoI,Museo del Traje,4,,Point,"-3.731108,40.441624",3€,80,"El Museo del Traje ofrece una visión detallada de la historia de la moda y el vestido en España, con una amplia colección de trajes y accesorios desde el siglo XVI hasta la actualidad.",
urn:ngsi-ld:PoI:038,PoI,Museo Naval,4,,Point,"-3.689478,40.417075",0€,150,"El Museo Naval de Madrid muestra la historia de la Marina Española a través de una impresionante colección de modelos de barcos, mapas, instrumentos de navegación y arte naval.",
urn:ngsi-ld:PoI:040,PoI,Museo Nacional de Antropología,4,,Point,"-3.691014,40.407322",3€,80,El Museo Nacional de Antropología presenta una colección de objetos que ilustran la diversidad cultural de diferentes pueblos y sociedades de todo el mundo.,
urn:ngsi-ld:PoI:041,PoI,Zoo Aquarium de Madrid,4,,Point,"-3.761133,40.404906",24€,500,"El Zoo Aquarium de Madrid es uno de los zoológicos más grandes de España, con una gran variedad de animales de todo el mundo y un impresionante acuario.",
urn:ngsi-ld:PoI:042,PoI,Parque de Atracciones de Madrid,4,,Point,"-3.745586,40.411829",33€,1000,"El Parque de Atracciones de Madrid ofrece una amplia variedad de atracciones y espectáculos para todas las edades, convirtiéndolo en un lugar perfecto para un día de diversión en familia.",
urn:ngsi-ld:PoI:043,PoI,Teleférico de Madrid,4,,Point,"-3.725879,40.421978",6€,200,"El Teleférico de Madrid ofrece un recorrido aéreo sobre la Casa de Campo, proporcionando unas vistas espectaculares de la ciudad y sus alrededores.",
urn:ngsi-ld:PoI:044,PoI,Museo del Jamón,4,,Point,"-3.703858,40.416015",Variable,100,El Museo del Jamón es un popular establecimiento de Madrid donde se pueden degustar diferentes tipos de jamón y productos ibéricos. Es un lugar ideal para los amantes de la gastronomía española.,
urn:ngsi-ld:PoI:045,PoI,Real Basílica de San Francisco el Grande,3,,Point,"-3.712216,40.410211",3€,200,La Real Basílica de San Francisco el Grande es una impresionante iglesia de estilo neoclásico que cuenta con una de las cúpulas más grandes de España y una magnífica colección de arte religioso.,
urn:ngsi-ld:PoI:046,PoI,Iglesia de San Antonio de los Alemanes,4,,Point,"-3.704162,40.422251",0€,150,"La Iglesia de San Antonio de los Alemanes es una joya barroca de Madrid, conocida por su impresionante interior decorado con frescos y su arquitectura única.",
urn:ngsi-ld:PoI:047,PoI,Palacio de Linares,4,,Point,"-3.691702,40.419313",10€,100,"El Palacio de Linares es una majestuosa mansión del siglo XIX situada en la Plaza de Cibeles. Actualmente alberga la Casa de América, un centro cultural que promueve las relaciones entre España y América Latina.",
urn:ngsi-ld:PoI:048,PoI,Museo del Aire,4,,Point,"-3.785083,40.369309",0€,200,"El Museo del Aire, situado en Cuatro Vientos, ofrece una amplia colección de aviones históricos y objetos relacionados con la aviación, mostrando la evolución de la aeronáutica en España.",
urn:ngsi-ld:PoI:049,PoI,Monumento a Alfonso XII,4,,Point,"-3.684504,40.41554",0€,300,"El Monumento a Alfonso XII es una majestuosa estructura situada en el Parque del Retiro, con una gran columnata y una estatua ecuestre del rey. Es un lugar popular para relajarse y disfrutar del paisaje.",
urn:ngsi-ld:PoI:050,PoI,Palacio de Cristal,3,,Point,"-3.683923,40.413787",0€,150,"El Palacio de Cristal, situado en el Parque del Retiro, es una impresionante estructura de hierro y vidrio construida en 1887. Actualmente se utiliza para exposiciones de arte contemporáneo.",
urn:ngsi-ld:PoI:051,PoI,Jardines del Buen Retiro,3,,Point,"-3.68211,40.414425",0€,1000,"Los Jardines del Buen Retiro son una extensa área verde en el centro de Madrid, que ofrece jardines, fuentes, estatuas y una gran variedad de actividades recreativas.",
urn:ngsi-ld:PoI:052,PoI,Museo ABC de Dibujo e Ilustración,4,,Point,"-3.703278,40.428095",0€,100,"El Museo ABC de Dibujo e Ilustración alberga una extensa colección de dibujos e ilustraciones, y ofrece exposiciones temporales de artistas contemporáneos y clásicos.",
urn:ngsi-ld:PoI:053,PoI,Teatro de la Zarzuela,3,,Point,"-3.697698,40.417167",Variable,1244,"El Teatro de la Zarzuela es el teatro principal de Madrid dedicado a la zarzuela, un género de música teatral típicamente español. Ofrece una programación variada de zarzuela, ópera y conciertos.",
urn:ngsi-ld:PoI:054,PoI,Teatro Español,3,,Point,"-3.703672,40.414524",Variable,800,El Teatro Español es uno de los teatros más antiguos de Madrid y un importante centro cultural de la ciudad. Ofrece una amplia variedad de obras de teatro y otros eventos culturales.,
urn:ngsi-ld:PoI:055,PoI,Museo del Reloj,4,,Point,"-3.711423,40.424042",0€,50,"El Museo del Reloj, ubicado en el Palacio de Cibeles, alberga una impresionante colección de relojes antiguos y modernos, ofreciendo una visión fascinante de la evolución de la medición del tiempo.",
urn:ngsi-ld:PoI:056,PoI,Museo de los Orígenes,4,,Point,"-3.709673,40.410859",2€,50,"El Museo de los Orígenes, también conocido como el Museo de San Isidro, muestra la historia de Madrid desde la Prehistoria hasta el establecimiento de la ciudad en la Edad Media.",
urn:ngsi-ld:PoI:057,PoI,Palacio de Longoria,4,,Point,"-3.69878,40.428396",0€,50,El Palacio de Longoria es un impresionante edificio modernista situado en el centro de Madrid. Actualmente alberga la Sociedad General de Autores y Editores (SGAE).,
urn:ngsi-ld:PoI:059,PoI,Museo de San Isidro,4,,Point,"-3.709739,40.410882",0€,50,"El Museo de San Isidro narra la historia de Madrid desde sus orígenes prehistóricos hasta la actualidad, con una colección que incluye artefactos arqueológicos, documentos históricos y más.",
urn:ngsi-ld:PoI:060,PoI,Museo Nacional de Ciencia y Tecnología,4,,Point,"-3.706488,40.41675",3€,150,El Museo Nacional de Ciencia y Tecnología ofrece una fascinante colección de objetos que ilustran el desarrollo de la ciencia y la tecnología a lo largo de la historia.,
urn:ngsi-ld:PoI:061,PoI,Museo Geominero,4,,Point,"-3.70267,40.442382",0€,100,"El Museo Geominero alberga una extensa colección de minerales, rocas y fósiles, proporcionando una visión fascinante de la geología y la paleontología.",
urn:ngsi-ld:PoI:062,PoI,Museo de América,3,,Point,"-3.721303,40.432241",3€,100,El Museo de América alberga una impresionante colección de arte y objetos de las culturas precolombinas de América. Es un lugar fascinante para aprender sobre la historia y las tradiciones del continente americano.,
urn:ngsi-ld:PoI:063,PoI,Estadio Vicente Calderón,4,,Point,"-3.719,40.402155",Variable,54000,"El Estadio Vicente Calderón fue el hogar del Atlético de Madrid hasta 2017. Aunque ya no se usa para partidos oficiales, sigue siendo un lugar icónico para los aficionados del fútbol.",
urn:ngsi-ld:PoI:064,PoI,Matadero Madrid,4,,Point,"-3.699436,40.391929",Variable,1000,"Matadero Madrid es un centro cultural contemporáneo que ofrece exposiciones, conciertos, cine y más. Ubicado en un antiguo matadero, es un punto de encuentro para la creatividad y la innovación.",
urn:ngsi-ld:PoI:065,PoI,Planetario de Madrid,4,,Point,"-3.678337,40.391807","3,60€",250,"El Planetario de Madrid ofrece una experiencia educativa y visual sobre astronomía y ciencias del espacio, con proyecciones y exposiciones interactivas.",
urn:ngsi-ld:PoI:066,PoI,Real Academia de Bellas Artes de San Fernando,3,,Point,"-3.699897,40.417527",8€,150,"La Real Academia de Bellas Artes de San Fernando alberga una colección de arte que incluye pinturas, esculturas, grabados y más, abarcando desde el siglo XVI hasta la contemporaneidad.",
urn:ngsi-ld:PoI:068,PoI,Palacio de Fernán Núñez,4,,Point,"-3.698761,40.414794",0€,100,"El Palacio de Fernán Núñez, un hermoso edificio del siglo XIX, es la sede de la Fundación de los Ferrocarriles Españoles y se utiliza para eventos culturales y exposiciones.",
urn:ngsi-ld:PoI:069,PoI,Puerta de Toledo,3,,Point,"-3.711587,40.407522",0€,200,La Puerta de Toledo es un monumento histórico que data del siglo XIX y es uno de los arcos de triunfo más conocidos de Madrid.,
urn:ngsi-ld:PoI:070,PoI,Museo del Ejército,4,,Point,"-3.71135,40.417081",5€,300,"El Museo del Ejército, situado en el Alcázar de Toledo, ofrece una extensa colección de objetos y documentos que narran la historia militar de España.",
urn:ngsi-ld:PoI:071,PoI,Museo Naval,4,,Point,"-3.689478,40.417075",0€,150,"El Museo Naval de Madrid muestra la historia de la Marina Española a través de una impresionante colección de modelos de barcos, mapas, instrumentos de navegación y arte naval.",
urn:ngsi-ld:PoI:072,PoI,Museo de la Ciudad,4,,Point,"-3.698045,40.433703",3€,100,El Museo de la Ciudad ofrece una visión detallada del desarrollo urbanístico y arquitectónico de Madrid desde sus orígenes hasta la actualidad.,
urn:ngsi-ld:PoI:073,PoI,Casa de Lope de Vega,4,,Point,"-3.696371,40.414014",3€,50,"La Casa de Lope de Vega es la antigua residencia del famoso escritor español Lope de Vega, ahora convertida en museo. Ofrece una visión de la vida y obra del dramaturgo.",
urn:ngsi-ld:PoI:074,PoI,Museo del Vino,4,,Point,"-3.702611,40.416178",Variable,100,"El Museo del Vino ofrece una experiencia única para los amantes del vino, con degustaciones y exposiciones que ilustran la historia y la cultura del vino en España.",
urn:ngsi-ld:PoI:076,PoI,Museo de la Real Academia de Bellas Artes de San Fernando,3,,Point,"-3.698837,40.417667",8€,150,"El Museo de la Real Academia de Bellas Artes de San Fernando alberga una rica colección de arte, incluyendo pinturas, esculturas y grabados de artistas españoles y europeos.",
urn:ngsi-ld:PoI:077,PoI,Museo de Arte Contemporáneo,4,,Point,"-3.702476,40.426261",4€,200,"El Museo de Arte Contemporáneo de Madrid ofrece una variada colección de arte moderno y contemporáneo, con obras de artistas españoles e internacionales.",
urn:ngsi-ld:PoI:078,PoI,Museo de Artes y Tradiciones Populares,4,,Point,"-3.731451,40.439494",3€,80,"El Museo de Artes y Tradiciones Populares ofrece una visión detallada de la vida cotidiana y las tradiciones populares en España, con una amplia colección de objetos y artefactos.",
urn:ngsi-ld:PoI:079,PoI,Museo Nacional de Reproducciones Artísticas,4,,Point,"-3.70327,40.426344",3€,150,"El Museo Nacional de Reproducciones Artísticas alberga una colección de reproducciones de obras maestras del arte, ofreciendo una oportunidad única para apreciar las grandes obras de la historia del arte.",
urn:ngsi-ld:PoI:080,PoI,Museo Tiflológico,4,,Point,"-3.708569,40.435859",0€,50,"El Museo Tiflológico es un museo único gestionado por la ONCE, diseñado para ser accesible a personas con discapacidad visual, con una colección de arte táctil y maquetas accesibles.",
urn:ngsi-ld:PoI:081,PoI,Museo de San Isidro,4,,Point,"-3.709739,40.410882",0€,50,"El Museo de San Isidro narra la historia de Madrid desde sus orígenes prehistóricos hasta la actualidad, con una colección que incluye artefactos arqueológicos, documentos históricos y más.",
urn:ngsi-ld:PoI:082,PoI,Museo Nacional de Ciencia y Tecnología,4,,Point,"-3.706488,40.41675",3€,150,El Museo Nacional de Ciencia y Tecnología ofrece una fascinante colección de objetos que ilustran el desarrollo de la ciencia y la tecnología a lo largo de la historia.,
urn:ngsi-ld:PoI:083,PoI,Museo de América,3,,Point,"-3.721303,40.432241",3€,100,El Museo de América alberga una impresionante colección de arte y objetos de las culturas precolombinas de América. Es un lugar fascinante para aprender sobre la historia y las tradiciones del continente americano.,
urn:ngsi-ld:PoI:085,PoI,Teatro de la Zarzuela,3,,Point,"-3.697698,40.417167",Variable,1244,"El Teatro de la Zarzuela es el teatro principal de Madrid dedicado a la zarzuela, un género de música teatral típicamente español. Ofrece una programación variada de zarzuela, ópera y conciertos.",
urn:ngsi-ld:PoI:086,PoI,Teatro Español,3,,Point,"-3.703672,40.414524",Variable,800,El Teatro Español es uno de los teatros más antiguos de Madrid y un importante centro cultural de la ciudad. Ofrece una amplia variedad de obras de teatro y otros eventos culturales.,
urn:ngsi-ld:PoI:090,PoI,Palacio del Infante Don Luis,5,,Point,"-3.871778,40.405146",0€,100,Un edificio histórico con hermosos jardines.,
urn:ngsi-ld:PoI:101,PoI,Plaza de España,3,,Point,"-3.712238,40.423782",0€,500,"La Plaza de España es una de las plazas más grandes y conocidas de Madrid. Es un punto de referencia importante, con monumentos como la estatua de Cervantes y los edificios Torre de Madrid y Edificio España.",
urn:ngsi-ld:PoI:102,PoI,Parque de El Capricho,3,,Point,"-3.607167,40.463455",0€,300,"El Parque de El Capricho es un jardín histórico situado en el barrio de Alameda de Osuna. Es uno de los parques más bellos de Madrid, con una gran variedad de árboles, flores y estructuras arquitectónicas.",
urn:ngsi-ld:PoI:103,PoI,Centro de Arte Dos de Mayo,4,,Point,"-3.799487,40.338603",2€,150,"El Centro de Arte Dos de Mayo (CA2M) es un museo de arte contemporáneo ubicado en Móstoles, en la Comunidad de Madrid. Ofrece una variada programación de exposiciones, talleres y actividades culturales.",
urn:ngsi-ld:PoI:104,PoI,Estadio de Vallecas,4,,Point,"-3.658507,40.39189",Variable,15000,"El Estadio de Vallecas es el hogar del Rayo Vallecano, un club de fútbol de la primera división española. Es conocido por su ambiente único y apasionado.",
urn:ngsi-ld:PoI:105,PoI,Parque Juan Carlos I,3,,Point,"-3.598242,40.459478",0€,1000,"El Parque Juan Carlos I es uno de los parques más grandes de Madrid. Ofrece una amplia variedad de actividades recreativas, incluyendo alquiler de bicicletas, paseos en bote y áreas de juego para niños.",
urn:ngsi-ld:PoI:106,PoI,Puente de Segovia,4,,Point,"-3.721735,40.415774",0€,200,"El Puente de Segovia es el puente más antiguo de Madrid, construido en el siglo XVI. Ofrece vistas impresionantes del río Manzanares y la ciudad.",
urn:ngsi-ld:PoI:107,PoI,Parque Enrique Tierno Galván,4,,Point,"-3.679483,40.38819",0€,1000,"El Parque Enrique Tierno Galván es un gran parque urbano en Madrid, conocido por su planetario y por albergar numerosos eventos y conciertos al aire libre.",
urn:ngsi-ld:PoI:108,PoI,Parque Quinta de los Molinos,3,,Point,"-3.63026,40.445301",0€,300,El Parque Quinta de los Molinos es un hermoso parque que destaca por sus almendros en flor en primavera. Es un lugar ideal para pasear y disfrutar de la naturaleza.,
urn:ngsi-ld:PoI:109,PoI,Plaza de la Paja,4,,Point,"-3.712377,40.413792",0€,200,"La Plaza de la Paja es una pintoresca plaza en el barrio de La Latina, conocida por su ambiente tranquilo y sus bares y restaurantes con terrazas.",
urn:ngsi-ld:PoI:110,PoI,Monumento a Alfonso XII,4,,Point,"-3.684504,40.41554",0€,300,"El Monumento a Alfonso XII es una majestuosa estructura situada en el Parque del Retiro, con una gran columnata y una estatua ecuestre del rey. Es un lugar popular para relajarse y disfrutar del paisaje.",
urn:ngsi-ld:PoI:111,PoI,Plaza del Dos de Mayo,4,,Point,"-3.703579,40.428486",0€,300,"La Plaza del Dos de Mayo es una plaza histórica en el barrio de Malasaña, conocida por su animado ambiente y sus numerosos bares y restaurantes.",
urn:ngsi-ld:PoI:112,PoI,Parque de la Vaguada,4,,Point,"-3.703477,40.478618",0€,500,"El Parque de la Vaguada es un espacio verde en el barrio de La Vaguada, con áreas de juego, pistas deportivas y un estanque. Es un lugar popular para familias y residentes locales.",
urn:ngsi-ld:PoI:113,PoI,Plaza de la Villa,4,,Point,"-3.712297,40.415558",0€,200,"La Plaza de la Villa es una de las plazas más antiguas de Madrid, rodeada de edificios históricos como la Casa de la Villa, la Casa de Cisneros y la Torre de los Lujanes.",
urn:ngsi-ld:PoI:114,PoI,Parque de Berlín,4,,Point,"-3.674305,40.450933",0€,400,"El Parque de Berlín es un parque urbano en el barrio de Chamartín, conocido por su monumento al Muro de Berlín y su ambiente tranquilo.",
urn:ngsi-ld:PoI:115,PoI,Parque de las Avenidas,4,,Point,"-3.654325,40.437496",0€,300,"El Parque de las Avenidas es un espacio verde en el barrio de Guindalera, ideal para pasear, hacer deporte y disfrutar del aire libre.",
urn:ngsi-ld:PoI:117,PoI,Parque de la Fuente del Berro,4,,Point,"-3.662531,40.426328",0€,300,"El Parque de la Fuente del Berro es un parque histórico en el barrio de Salamanca, conocido por su belleza paisajística y sus fuentes ornamentales.",
urn:ngsi-ld:PoI:118,PoI,Parque del Oeste,3,,Point,"-3.722717,40.432092",0€,1000,"El Parque del Oeste es uno de los parques más grandes de Madrid, conocido por sus jardines, sus senderos y el Templo de Debod.",
urn:ngsi-ld:PoI:119,PoI,Parque Lineal del Manzanares,4,,Point,"-3.70533,40.36922",0€,800,"El Parque Lineal del Manzanares es un gran espacio verde que sigue el curso del río Manzanares, ideal para caminar, correr y disfrutar de la naturaleza.",
urn:ngsi-ld:PoI:120,PoI,Parque de las Siete Tetas,4,,Point,"-3.661437,40.391344",0€,300,"El Parque de las Siete Tetas, también conocido como el Cerro del Tío Pío, ofrece una de las mejores vistas panorámicas de Madrid desde sus colinas.",
urn:ngsi-ld:PoI:121,PoI,Plaza de Colón,3,,Point,"-3.688545,40.425478",0€,400,"La Plaza de Colón es una gran plaza en el centro de Madrid, conocida por sus monumentos a Cristóbal Colón y su centro cultural, el Centro Cultural de la Villa.",
urn:ngsi-ld:PoI:122,PoI,Plaza de Callao,3,,Point,"-3.705563,40.419056",0€,500,"La Plaza de Callao es un importante punto de encuentro en el centro de Madrid, conocida por sus cines históricos, teatros y su animada vida nocturna.",
urn:ngsi-ld:PoI:123,PoI,Plaza de Oriente,3,,Point,"-3.711507,40.418557",0€,300,"La Plaza de Oriente es una hermosa plaza situada junto al Palacio Real, conocida por sus jardines y estatuas de reyes españoles.",
